,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15,principal_component_16,principal_component_17,principal_component_18,principal_component_19,principal_component_20,principal_component_21,principal_component_22
tempmax,0.34170220880472063,0.04484727564504578,0.02181339871298073,0.005786175196270508,-0.018956391250455788,-0.05479731522643458,-0.006958322125956588,0.020151403354106357,-0.04790909185716064,0.06277329155261535,0.09530100992874982,-0.0826988954293769,-0.007336117632768779,-0.024371607474787418,0.0010689527272460338,-0.4718926130216112,0.14266632435831197,0.3961398552611765,-0.48618358618624735,-0.35063103759219855,-0.3079228977405955,0.00034437379440775163
tempmin,0.31812944494863304,0.19830722479727286,0.06290242728922009,-0.017631233121329273,-0.01282028088211992,-0.014265518452852803,0.015129519787088704,0.036998841355203566,-0.06707583880695282,0.0257139093026809,0.08568373826124433,0.060234196682796254,0.09052388980717675,-0.06489229967290723,-0.01049281581677973,0.5243184136201969,0.17290686237401484,0.5866168478522241,0.2929040675660363,0.19240643510415675,-0.22988941550305936,-0.0008026396256948666
temp,0.33938112270765664,0.11682740189394523,0.04613140668084857,-0.006775777001799993,-0.017000389676361423,-0.03550589029728944,0.006418311725532885,0.029500035250399074,-0.05796827952531863,0.045714368530298116,0.0864287222504087,-0.02124997916583739,0.04583804940666106,-0.04632373226868512,-0.030234097510449778,-0.017947024820239847,0.28006179449640584,-0.04024848964949263,-0.3804586202480815,0.4606334270604765,0.6408547060963522,0.0007898667072219544
feelslikemax,0.3403821450211627,0.061936231351596975,-0.00682655943564411,0.015380729277377408,-0.01806762494066085,-0.049867323171575606,-0.004156247295443321,0.025218453062747264,-0.041888094587619176,0.054499817916347296,0.09868130032031101,-0.08056011096051185,-0.0070523283018105246,0.002474691760173986,0.011090837711052173,-0.5079380666274965,-0.3427690281598292,0.13868386010480951,0.6151905766205592,0.007112381955531583,0.2866839029313129,-0.00025662627489578043
feelslikemin,0.3222869733955635,0.19370497079651358,0.007468819969053943,-0.005124477943926382,-0.016235770749390543,-0.0179120638841045,0.02324224225464573,0.050376445962371584,-0.056063324367052844,0.02738435803231367,0.09414709779807606,0.02890559814623086,0.09136759407264143,-0.004112402521083949,-0.0024429775521924713,0.4321781190639224,-0.5341402548537004,-0.15686133805828534,-0.22027100311452694,-0.4890896258532369,0.2201897126757599,0.0010892676023489078
feelslike,0.33888604079868057,0.12343670552697578,0.0020906334213184356,0.004709254947002738,-0.018825257695143392,-0.036150648487182455,0.013940816642337983,0.04038227676178635,-0.048706008101335824,0.04115879955392071,0.09281000068551372,-0.036113334954629484,0.04999869366180369,-0.0018053784782799077,-0.020851160574220085,-0.06966896892056722,-0.28817510287859965,-0.44096691315071457,-0.09709432411719951,0.5010207412019466,-0.5537899231111744,-0.0013470587973796562
dew,0.2871684426439788,0.2973775177327895,-0.004697573761873748,0.005349105240741286,0.002762185876067267,0.04008049020098519,0.02673888354049385,0.05190574885067561,-0.027620084996804885,-0.024594364612785212,0.04077578537970972,0.1992861230454073,-0.23318641467202925,0.008547744703714858,0.006853777881122787,-0.005293413693069743,0.5655452017462785,-0.46326306430776626,0.27623862949649874,-0.3353168917349299,-0.05965195418575238,0.00018337486880535707
humidity,-0.12201334404634845,0.4199508714242741,-0.11595306199167915,0.04841890777864887,0.036595754477902004,0.14503030555857271,0.04246473928025664,0.06259726378415753,0.0790710099707101,-0.15679402836612383,-0.13277887302032002,0.4512693468938117,-0.5873023899788986,0.11884014151953856,-0.005815618862278822,-0.08620278471070661,-0.24192568292668856,0.20815904515833725,-0.14087426370767728,0.1545185489617552,0.025833457903610538,3.9740315199448575e-05
precip,-0.010097869802755271,0.21581052006998547,0.16163496592603419,0.19136695103027268,-0.025211015941476244,-0.18240434945053585,0.0414959597686354,-0.254172119597197,0.8629507333097166,0.0979545111206137,0.1413286188391893,-0.10825931715711029,0.02623876527668033,-0.05872639121770115,0.009744821142891658,0.008778345660787022,0.006037672689932219,-0.003970356083063353,0.0012519776134862167,-0.002889111837157537,-0.00016017277220453478,-6.769331438886752e-05
snow,-0.0828813882932487,0.0445019439634189,0.1662810669070333,0.5551826633919411,0.021724271426701705,0.19321083487272447,0.24598814845735795,0.1866857193161578,-0.12881938084070768,0.6828209039015405,-0.19530220699194464,0.00021615298606022157,-0.014352581573329769,-0.027384247841579452,0.01193986094347741,0.0016013707755777177,-0.0013603189242481668,-0.003134218242239142,0.0031092446236231424,-0.0020634737572198256,-0.0007282634385298384,-7.491494882998323e-05
snowdepth,-0.10799994223356293,-0.08992273552661076,0.11460579385169532,0.5383279101519314,-0.007241895167348182,0.07254239186507042,0.25908853178171154,0.11913469045724777,-0.12884686910036747,-0.48002592090403157,0.5806566702954646,-0.020349503165178088,-0.0208727346933015,-0.07003578528241855,-0.02639426426815557,-0.0028535602942576905,0.004371444130947575,0.0019159168021207933,-0.0032720516168599978,0.0008554426257985304,0.001137422335027635,-0.00018981733203873982
windgust,-0.03787253234572977,-0.04189742924567906,0.6081824063014474,-0.1146709692590608,-0.04155595730814307,-0.1258410379796551,-0.008027356862422026,-0.1438665367019719,-0.11127839611394756,0.0727213933100472,0.14774602821114147,0.1660568161118967,0.008198032087311688,0.7126637668209833,-0.01647977048562742,-0.01041739001985466,-0.0033107868487074425,0.0033040637668477566,-0.0004800526767183653,0.004002154167563132,9.714977767929643e-06,-4.8548118607770534e-05
windspeed,-0.03603201684045354,-0.11826850092195865,0.5853534179902093,-0.1652775340610832,-0.003624470630440939,-0.07361424554923021,-0.08299433433426774,-0.18009396515521178,-0.12797336377040489,0.04694009771006336,0.025757145560085067,0.22151251665273247,-0.2242297737376204,-0.6654900594462991,-0.010867458141006077,-0.02634402008682367,-0.08200534358112327,-0.030418188873653277,-0.002297321644195117,-0.006013388214568083,-0.0057789676048324076,-3.191454104829007e-05
winddir,0.006040918371964776,-0.11808838366555095,0.18300995271846865,-0.2759121240860168,0.19610009316858787,0.5176220112963132,-0.20171996774384984,0.6053074426407378,0.3149985250842107,0.07096222170890303,0.2363069592860961,0.021670097411495715,0.04000333182875288,0.0022684379828367316,-0.01689234751157292,-0.02015725012603537,-0.006731909043954425,0.0025587369516640503,-0.0010670099308973155,0.0015098581946747975,-0.00012052497491577558,5.0230066591228746e-05
pressure,-0.04243874639028899,-0.24287076045521158,-0.36721079886669816,0.022711156471571316,-0.05605635143529507,-0.19531649795720774,-0.17580325875170796,-0.061894913985971564,0.031802184569375114,0.35373175705655713,0.4427796325627578,0.6225348607517724,0.12854083417760892,-0.022079261011333177,-0.02338647859629269,-0.02023800362006453,0.0030180292029959007,0.002502660229034931,-0.0058640533506367784,0.008070490228122486,0.001391474198515969,3.636664388605317e-05
cloudcover,-0.14397805185785784,0.37849189291929825,0.11229030515242656,-0.03949951571816672,0.008244175852788756,0.1512717308142508,0.17759326217189986,-0.013582900590321184,-0.018101744266210668,-0.18536302973142713,-0.17874147643532204,0.38204505626347957,0.7059244486403206,-0.10665405070925972,0.05714842095007949,-0.20333074507250162,0.0063536425637426616,-0.004464206643223503,-0.0030098944395967023,-0.013793619300822759,-0.0015757443095299672,2.2785611435345814e-06
visibility,0.03344157498894429,-0.09287917520469985,-0.12733396087839588,-0.37091639799025666,0.014442957840180324,0.405081681330126,0.6669847948185632,-0.38159218123885286,0.014957094793409776,0.15513859064651994,0.21883837487527028,-0.04309832522112438,-0.08498636307129263,0.0006199381353528777,0.013973887703471305,0.006794765636035978,-0.006163858126898835,0.009204958843575544,-0.0031113975574798276,0.00658717512801518,0.001184642441933735,0.00017344452736777724
solarradiation,0.24917324420608228,-0.32880359037355666,0.0262077242917803,0.1267047886924267,0.013849068370519654,0.07567052061989893,0.09581531307907173,-0.02817620123400203,0.1467903158432386,-0.14625914346839283,-0.26603878220410676,0.1972213693280391,0.021070045590163282,0.03986873159066279,-0.37685407658285486,0.015129396310460019,-0.007404037957367209,0.002499441092426579,0.008437199727583996,-0.010344308023086375,-0.002550476191816466,0.7071269284062979
solarenergy,0.24920761869857413,-0.32874912270436435,0.026024257617209657,0.12642273467435491,0.01403569927831846,0.07586869820535545,0.09579707381681292,-0.02832547584338742,0.14678090629191748,-0.1461735633431755,-0.2661128305438463,0.19731631229478552,0.020987953920561925,0.03989768956548474,-0.37693569102996827,0.015259136151413628,-0.007234702567863366,0.0024248276096913352,0.00712944384622353,-0.012007925554590777,-0.0004477233462732709,-0.7070833810156997
uvindex,0.2470594965770422,-0.3245115755944266,0.03138080115967224,0.1250968599555841,0.01886358029672819,0.06520725500998696,0.04553598165653727,-0.019336679546606818,0.11834345098333825,-0.13221696285965176,-0.1845560204963775,0.17646142667726716,-0.023376220400557614,0.04583764409275204,0.8415576255324133,0.037802537653111694,-0.006514494190054619,-0.0003880649697948055,-0.017060398319779475,0.025291450570695234,0.003072183044351674,-6.268165681798603e-05
moonphase,0.002741685345874358,6.281428326894081e-05,-0.015324431400847369,-0.026924807497540077,0.9310477493970037,-0.316603427913545,0.17182962318150163,0.030751308480752006,-0.028582988830417298,0.010762303314474997,0.0008033216052166863,0.02175179772219156,0.006781025529307532,0.004540122346839645,0.00014946646779859604,-0.0007370639770004794,-0.000141318240780604,-0.00018449518531483532,-0.0002948763125461858,0.00022374326276141074,0.00017954550466905945,8.261927816937268e-05
severerisk,0.0680952749220335,0.07024994228331095,-0.026230663068844483,0.2400961142470613,0.2907357643754365,0.5124763395760623,-0.5119937283663493,-0.5479207795095161,-0.10108977761743805,-0.0020286610605350025,0.06662456528805995,-0.05512489715950982,0.051230893307450655,0.04225248289953182,-0.019849247449563547,0.002586955791478625,-0.005343116163610743,-0.002314928414210199,-0.005448357585078919,0.0016029524653376115,-0.0014697447018826085,0.0001275835343426639
